NoteNumber,EmployeeNumber,LocationType,LocationCode,GrossPay,Deductions,NetPay,ActualGrossPay,,Servicetype,EmployeeType,ServiceStatus,CentreCode,TotalPaidDays,,,,,,,,
200001-EPC-20070201-00009,38899,2,10,1320,123,1197,1320,,3,1,4,10,13.29,,,,,,,,
200001-EPC-20070201-00009,44546,2,10,1541,143,1398,1541,,3,1,4,10,15.51,,,,,,,,
200001-EPC-20070201-00009,44567,2,10,1394,129,1265,1394,,3,1,4,10,14.03,,,,,,,,
200001-EPC-20070201-00009,44569,2,10,1394,129,1265,1394,,3,1,4,10,14.03,,,,,,,,
200001-EPC-20070201-00009,64171,2,10,1247,116,1131,1247,,3,1,4,10,12.55,,,,,,,,
200001-EPC-20070201-00009,64172,2,10,0,0,0,0,,3,1,4,10,0,,,,,,,,
200001-EPC-20070201-00009,73628,2,10,2326,0,2326,2326,,3,1,2,10,23.82,,,,,,,,
200001-EPC-20070201-00009,74394,2,10,2452,0,2452,2452,,3,1,2,10,25.48,,,,,,,,
200001-EPC-20070201-00009,333531,2,10,0,0,0,0,,3,1,2,10,0,,,,,,,,
200001-EPC-20070201-00009,336885,2,10,2337,0,2337,2337,,3,1,2,10,24,,,,,,,,
200001-EPC-20070201-00009,336980,2,10,2315,0,2315,2315,,3,1,2,10,23.63,,,,,,,,
200001-EPC-20070201-00010,1881,2,11,624,58,566,624,,3,1,4,11,6.28,,,,,,,,
200001-EPC-20070201-00010,1882,2,11,1220,113,1107,1220,,3,1,4,11,12.37,,,,,,,,
200001-EPC-20070201-00010,1883,2,11,715,66,649,715,,3,1,4,11,7.2,,,,,,,,
200001-EPC-20070201-00010,5966,2,11,0,0,0,0,,3,1,4,11,0,,,,,,,,
200001-EPC-20070201-00010,57905,2,11,1194,111,1083,1194,,3,1,4,11,12.09,,,,,,,,
200001-EPC-20070201-00010,57910,2,11,1029,96,933,1029,,3,1,4,11,10.52,,,,,,,,
200001-EPC-20070201-00010,57988,2,11,1175,109,1066,1175,,3,1,4,11,11.91,,,,,,,,
200001-EPC-20070201-00010,57989,2,11,800,74,726,800,,3,1,4,11,8.12,,,,,,,,
200001-EPC-20070201-00010,64173,2,11,403,37,366,403,,3,1,4,11,4.06,,,,,,,,
200001-EPC-20070201-00010,64174,2,11,834,77,757,834,,3,1,4,11,8.49,,,,,,,,
200001-EPC-20070201-00010,70150,2,11,2147,0,2147,2147,,3,1,2,11,21.78,,,,,,,,
200001-EPC-20070201-00010,70160,2,11,1248,116,1132,1248,,3,1,4,11,12.65,,,,,,,,
200001-EPC-20070201-00010,70161,2,11,1076,100,976,1076,,3,1,4,11,10.89,,,,,,,,
200001-EPC-20070201-00010,72407,2,11,1194,111,1083,1194,,3,1,4,11,12.09,,,,,,,,
200001-EPC-20070201-00011,10235,2,17,2683,249,2434,2683,,3,1,4,17,27.32,,,,,,,,
200001-EPC-20070201-00011,29833,2,17,2683,249,2434,2683,,3,1,4,17,27.32,,,,,,,,
200001-EPC-20070201-00011,40961,2,17,597,55,542,597,,3,1,4,17,6.09,,,,,,,,
200001-EPC-20070201-00011,44493,2,17,2524,234,2290,2524,,3,1,4,17,25.66,,,,,,,,
200001-EPC-20070201-00011,44494,2,17,0,0,0,0,,3,1,4,17,0,,,,,,,,
200001-EPC-20070201-00011,44496,2,17,0,0,0,0,,3,1,4,17,0,,,,,,,,
200001-EPC-20070201-00011,57906,2,17,2672,248,2424,2672,,3,1,4,17,27.14,,,,,,,,
200001-EPC-20070201-00011,57908,2,17,0,0,0,0,,3,1,4,17,0,,,,,,,,
200001-EPC-20070201-00011,63245,2,17,1875,174,1701,1875,,3,1,4,17,19.2,,,,,,,,
200001-EPC-20070201-00011,64176,2,17,2315,215,2100,2315,,3,1,4,17,23.63,,,,,,,,
200001-EPC-20070201-00011,67713,2,17,0,0,0,0,,3,1,4,17,0,,,,,,,,
200001-EPC-20070201-00011,70162,2,17,2441,227,2214,2441,,3,1,4,17,24.74,,,,,,,,
200001-EPC-20070201-00011,70163,2,17,0,0,0,0,,3,1,4,17,0,,,,,,,,
200001-EPC-20070201-00011,70402,2,17,1698,158,1540,1698,,3,1,4,17,17.17,,,,,,,,
200001-EPC-20070201-00011,72356,2,17,0,0,0,0,,3,1,4,17,0,,,,,,,,
200001-EPC-20070201-00011,76236,2,17,2523,0,2523,2523,,3,1,2,17,25.48,,,,,,,,
200001-EPC-20070201-00011,76300,2,17,1816,0,1816,1816,,3,1,2,17,18.28,,,,,,,,
200001-EPC-20070201-00011,337001,2,17,7934,0,7934,7934,,3,1,2,17,31,,,,,,,,
200001-EPC-20070201-00012,3677,2,18,2200,204,1996,2200,,3,1,4,18,22.15,,,,,,,,
200001-EPC-20070201-00012,3683,2,18,0,0,0,0,,3,1,4,18,0,,,,,,,,
200001-EPC-20070201-00012,3685,2,18,0,0,0,0,,3,1,4,18,0,,,,,,,,
200001-EPC-20070201-00012,10381,2,18,1833,170,1663,1833,,3,1,4,18,18.46,,,,,,,,
200001-EPC-20070201-00012,14112,2,18,2274,211,2063,2274,,3,1,4,18,22.89,,,,,,,,
200001-EPC-20070201-00012,14114,2,18,2274,211,2063,2274,,3,1,4,18,22.89,,,,,,,,
200001-EPC-20070201-00012,44551,2,18,2200,204,1996,2200,,3,1,4,18,22.15,,,,,,,,
200001-EPC-20070201-00012,57911,2,18,1907,177,1730,1907,,3,1,4,18,19.2,,,,,,,,
200001-EPC-20070201-00012,57912,2,18,0,0,0,0,,3,1,4,18,0,,,,,,,,
200001-EPC-20070201-00012,57973,2,18,1833,170,1663,1833,,3,1,4,18,18.46,,,,,,,,
200001-EPC-20070201-00012,57974,2,18,0,0,0,0,,3,1,4,18,0,,,,,,,,
200001-EPC-20070201-00012,57975,2,18,0,0,0,0,,3,1,4,18,0,,,,,,,,
200001-EPC-20070201-00012,74305,2,18,4230,0,4230,4230,,3,1,2,18,31,,,,,,,,
200001-EPC-20070201-00012,74404,2,18,4614,0,4614,4614,,3,1,2,18,31,,,,,,,,
200001-EPC-20070201-00012,337009,2,18,0,0,0,0,,3,1,2,18,0,,,,,,,,
200001-EPC-20070201-00013,44498,2,19,55,5,50,55,,3,1,4,19,0.55,,,,,,,,
200001-EPC-20070201-00013,44500,2,19,1138,106,1032,1138,,3,1,4,19,11.54,,,,,,,,
200001-EPC-20070201-00013,44553,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,44557,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,57913,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
